"file_type","file_name","file_path","file_size_kb"
"plot","barplot_City.png","plots/barplot_City.png",37.5
"plot","barplot_Department.png","plots/barplot_Department.png",33.1
"plot","barplot_Education.png","plots/barplot_Education.png",32.2
"plot","barplot_Performance_Rating.png","plots/barplot_Performance_Rating.png",34.7
"plot","boxplot_Age_by_City.png","plots/boxplot_Age_by_City.png",44.7
"plot","boxplot_Age_by_Education.png","plots/boxplot_Age_by_Education.png",43.4
"plot","boxplot_ID_by_City.png","plots/boxplot_ID_by_City.png",41.6
"plot","boxplot_ID_by_Education.png","plots/boxplot_ID_by_Education.png",39.1
"plot","correlation_heatmap.png","plots/correlation_heatmap.png",91.8
"plot","correlation_matrix.png","plots/correlation_matrix.png",32.3
"plot","histogram_Age.png","plots/histogram_Age.png",41.5
"plot","histogram_ID.png","plots/histogram_ID.png",36.7
"plot","histogram_Income.png","plots/histogram_Income.png",45.1
"plot","histogram_Salary_Bonus.png","plots/histogram_Salary_Bonus.png",50.3
"plot","histogram_Satisfaction.png","plots/histogram_Satisfaction.png",42.3
"plot","histogram_Score.png","plots/histogram_Score.png",40.7
"plot","histogram_Years_Experience.png","plots/histogram_Years_Experience.png",45.8
"export","categorical_summary_statistics.csv","exports/categorical_summary_statistics.csv",0.6
"export","correlation_matrix.csv","exports/correlation_matrix.csv",1
"export","correlation_pairs.csv","exports/correlation_pairs.csv",0.9
"export","dataset_overview.csv","exports/dataset_overview.csv",0.2
"export","file_inventory.csv","exports/file_inventory.csv",0.5
"export","frequency_City.csv","exports/frequency_City.csv",0.3
"export","frequency_Department.csv","exports/frequency_Department.csv",0.3
"export","frequency_Education.csv","exports/frequency_Education.csv",0.2
"export","frequency_Performance_Rating.csv","exports/frequency_Performance_Rating.csv",0.3
"export","histogram_data_Age.csv","exports/histogram_data_Age.csv",0.8
"export","histogram_data_ID.csv","exports/histogram_data_ID.csv",0.6
"export","histogram_data_Income.csv","exports/histogram_data_Income.csv",1
"export","histogram_data_Salary_Bonus.csv","exports/histogram_data_Salary_Bonus.csv",1.1
"export","histogram_data_Satisfaction.csv","exports/histogram_data_Satisfaction.csv",0.6
"export","histogram_data_Score.csv","exports/histogram_data_Score.csv",0.6
"export","histogram_data_Years_Experience.csv","exports/histogram_data_Years_Experience.csv",1.2
"export","missing_values_report.csv","exports/missing_values_report.csv",0.3
"export","numerical_summary_statistics.csv","exports/numerical_summary_statistics.csv",0.5
